Period,Value
Jun-2001,0882
Jul-2001,0880
Aug-2001,0866
Sep-2001,0853
Oct-2001,0871
Nov-2001,0924
Dec-2001,0979
Jan-2002,0880
Feb-2002,0948
Mar-2002,0923
Apr-2002,0936
May-2002,0978
Jun-2002,0957
Jul-2002,0956
Aug-2002,1014
Sep-2002,1044
Oct-2002,1006
Nov-2002,1024
Dec-2002,1048
Jan-2003,0999
Feb-2003,0936
Mar-2003,0999
Apr-2003,1012
May-2003,1078
Jun-2003,1193
Jul-2003,1168
Aug-2003,1206
Sep-2003,1131
Oct-2003,1144
Nov-2003,1093
Dec-2003,1129
Jan-2004,1165
Feb-2004,1159
Mar-2004,1276
Apr-2004,1186
May-2004,1241
Jun-2004,1180
Jul-2004,1088
Aug-2004,1175
Sep-2004,1214
Oct-2004,1305
Nov-2004,1179
Dec-2004,1242
Jan-2005,1203
Feb-2005,1319
Mar-2005,1328
Apr-2005,1260
May-2005,1286
Jun-2005,1274
Jul-2005,1389
Aug-2005,1255
Sep-2005,1244
Oct-2005,1336
Nov-2005,1214
Dec-2005,1239
Jan-2006,1174
Feb-2006,1061
Mar-2006,1116
Apr-2006,1123
May-2006,1086
Jun-2006,1074
Jul-2006,0965
Aug-2006,1035
Sep-2006,1016
Oct-2006,0941
Nov-2006,1003
Dec-2006,0998
Jan-2007,0891
Feb-2007,0828
Mar-2007,0833
Apr-2007,0887
May-2007,0842
Jun-2007,0793
Jul-2007,0778
Aug-2007,0699
Sep-2007,0686
Oct-2007,0727
Nov-2007,0641
Dec-2007,0619
Jan-2008,0627
Feb-2008,0593
Mar-2008,0535
Apr-2008,0536
May-2008,0504
Jun-2008,0487
Jul-2008,0477
Aug-2008,0435
Sep-2008,0433
Oct-2008,0393
Nov-2008,0389
Dec-2008,0377
Jan-2009,0336
Feb-2009,0372
Mar-2009,0339
Apr-2009,0337
May-2009,0376
Jun-2009,0393
Jul-2009,0411
Aug-2009,0418
Sep-2009,0386
Oct-2009,0396
Nov-2009,0375
Dec-2009,0352
Jan-2010,0345
Feb-2010,0336
Mar-2010,0381
Apr-2010,0422
May-2010,0280
Jun-2010,0305
Jul-2010,0283
Aug-2010,0282
Sep-2010,0317
Oct-2010,0291
Nov-2010,0287
Dec-2010,0326
Jan-2011,0307
Feb-2011,0270
Mar-2011,0300
Apr-2011,0310
May-2011,0305
Jun-2011,0301
Jul-2011,0296
Aug-2011,0299
Sep-2011,0304
Oct-2011,0316
Nov-2011,0328
Dec-2011,0341
Jan-2012,0335
Feb-2012,0366
Mar-2012,0354
Apr-2012,0354
May-2012,0370
Jun-2012,0360
Jul-2012,0369
Aug-2012,0375
Sep-2012,0385
Oct-2012,0358
Nov-2012,0392
Dec-2012,0399
Jan-2013,0446
Feb-2013,0447
Mar-2013,0444
Apr-2013,0441
May-2013,0428
Jun-2013,0470
Jul-2013,0375
Aug-2013,0381
Sep-2013,0403
Oct-2013,0444
Nov-2013,0446
Dec-2013,0433
Jan-2014,0443
Feb-2014,0420
Mar-2014,0405
Apr-2014,0403
May-2014,0451
Jun-2014,0418
Jul-2014,0402
Aug-2014,0456
Sep-2014,0470
Oct-2014,0476
Nov-2014,0442
Dec-2014,0497
Jan-2015,0515
Feb-2015,0540
Mar-2015,0480
Apr-2015,0502
May-2015,0502
Jun-2015,0480
Jul-2015,0506
Aug-2015,0518
Sep-2015,0456
Oct-2015,0482
Nov-2015,0504
Dec-2015,0546
Jan-2016,0505
Feb-2016,0517
Mar-2016,0532
Apr-2016,0576
May-2016,0571
Jun-2016,0557
Jul-2016,0628
Aug-2016,0575
Sep-2016,0558
Oct-2016,0575
Nov-2016,0571
Dec-2016,0561
Jan-2017,0573
Feb-2017,0587
Mar-2017,0632
Apr-2017,0598
May-2017,0635
Jun-2017,0619
Jul-2017,0572
Aug-2017,0556
Sep-2017,0637
Oct-2017,0626
Nov-2017,0711
Dec-2017,0630
Jan-2018,0590
Feb-2018,0618
Mar-2018,0679
Apr-2018,0642
May-2018,0662
Jun-2018,0636
Jul-2018,0628
Aug-2018,0593
Sep-2018,0595
Oct-2018,0554
Nov-2018,0625
Dec-2018,0546
Jan-2019,0595
Feb-2019,0648
Mar-2019,0718
Apr-2019,0702
May-2019,0618
Jun-2019,0729
Jul-2019,0648
Aug-2019,0712
Sep-2019,0712
Oct-2019,0722
Nov-2019,0713
Dec-2019,0700
Jan-2020,0690
Feb-2020,0707
Mar-2020,0621
Apr-2020,0579
May-2020,0709
Jun-2020,0896
Jul-2020,0983
Aug-2020,1022
Sep-2020,0979
Oct-2020,1031
Nov-2020,0877
Dec-2020,0878
Jan-2021,0896
Feb-2021,0774
Mar-2021,0861
Apr-2021,0837
May-2021,0726
Jun-2021,0689
Jul-2021,0727
Aug-2021,0691
Sep-2021,0731
Oct-2021,0683
Nov-2021,0787
Dec-2021,0834
Jan-2022,0798
Feb-2022,0781
Mar-2022,0713
Apr-2022,0636
May-2022,0648
Jun-2022,0543
Jul-2022,0519
Aug-2022,0644
Sep-2022,0556
Oct-2022,0577
Nov-2022,0596
Dec-2022,0632
Jan-2023,0639
Feb-2023,0625
Mar-2023,0644
Apr-2023,0687
May-2023,0741
Jun-2023,0666
Jul-2023,0700
Aug-2023,0652
Sep-2023,0694
Oct-2023,0673
Nov-2023,0611
Dec-2023,0654
Jan-2024,0664
Feb-2024,0643
Mar-2024,0683
Apr-2024,0736
May-2024,0672
Jun-2024,0672
Jul-2024,0726
Aug-2024,0709
Sep-2024,0738
Oct-2024,NA
Nov-2024,NA
Dec-2024,NA
